Date,Closing Price
2021-03-31,13091.4404296875
2021-04-01,13329.51953125
2021-04-05,13598.16015625
2021-04-06,13578.4599609375
2021-04-07,13616.7001953125
2021-04-08,13758.509765625
2021-04-09,13845.0595703125
2021-04-12,13819.349609375
2021-04-13,13986.490234375
2021-04-14,13803.91015625
2021-04-15,14026.1904296875
2021-04-16,14041.91015625
2021-04-19,13907.669921875
2021-04-20,13809.2998046875
2021-04-21,13935.150390625
2021-04-22,13762.3603515625
2021-04-23,13941.4404296875
2021-04-26,14026.16015625
2021-04-27,13960.2802734375
2021-04-28,13901.6201171875
2021-04-29,13970.2001953125
2021-04-30,13860.759765625
2021-05-03,13799.7197265625
2021-05-04,13544.669921875
2021-05-05,13503.3701171875
2021-05-06,13613.73046875
2021-05-07,13719.6298828125
2021-05-10,13359.080078125
2021-05-11,13351.26953125
2021-05-12,13001.6298828125
2021-05-13,13109.150390625
2021-05-14,13393.1201171875
2021-05-17,13312.91015625
2021-05-18,13217.6796875
2021-05-19,13237.91015625
2021-05-20,13494.08984375
2021-05-21,13411.740234375
2021-05-24,13641.75
2021-05-25,13657.73046875
2021-05-26,13702.740234375
2021-05-27,13657.849609375
2021-05-28,13686.509765625
2021-06-01,13654.58984375
2021-06-02,13675.7900390625
2021-06-03,13529.6796875
2021-06-04,13770.76953125
2021-06-07,13802.8896484375
2021-06-08,13810.8603515625
2021-06-09,13814.9404296875
2021-06-10,13960.349609375
2021-06-11,13998.2998046875
2021-06-14,14128.2001953125
2021-06-15,14030.41015625
2021-06-16,13983.009765625
2021-06-17,14163.8095703125
2021-06-18,14049.580078125
2021-06-21,14137.23046875
2021-06-22,14270.419921875
2021-06-23,14274.240234375
2021-06-24,14365.9599609375
2021-06-25,14345.1796875
2021-06-28,14524.98046875
2021-06-29,14572.75
2021-06-30,14554.7998046875
2021-07-01,14560.0498046875
2021-07-02,14727.6298828125
2021-07-06,14786.3603515625
2021-07-07,14810.5400390625
2021-07-08,14722.1396484375
2021-07-09,14826.08984375
2021-07-12,14877.8896484375
2021-07-13,14874.5400390625
2021-07-14,14900.4404296875
2021-07-15,14794.6904296875
2021-07-16,14681.3798828125
2021-07-19,14549.08984375
2021-07-20,14728.2099609375
2021-07-21,14842.6298828125
2021-07-22,14940.169921875
2021-07-23,15111.7900390625
2021-07-26,15125.9501953125
2021-07-27,14956.9697265625
2021-07-28,15018.099609375
2021-07-29,15048.3603515625
2021-07-30,14959.900390625
2021-08-02,14963.6201171875
2021-08-03,15061.419921875
2021-08-04,15083.3896484375
2021-08-05,15181.6396484375
2021-08-06,15109.3603515625
2021-08-09,15133.1103515625
2021-08-10,15053.580078125
2021-08-11,15027.759765625
2021-08-12,15088.98046875
2021-08-13,15136.6796875
2021-08-16,15140.76953125
2021-08-17,15002.830078125
2021-08-18,14857.919921875
2021-08-19,14933.9404296875
2021-08-20,15092.5703125
2021-08-23,15312.8203125
2021-08-24,15357.6796875
2021-08-25,15368.919921875
2021-08-26,15278.51953125
2021-08-27,15432.9501953125
2021-08-30,15605.08984375
2021-08-31,15582.509765625
2021-09-01,15611.5703125
2021-09-02,15604.25
2021-09-03,15652.8603515625
2021-09-07,15675.759765625
2021-09-08,15620.849609375
2021-09-09,15561.0498046875
2021-09-10,15440.75
2021-09-13,15434.5
2021-09-14,15382.900390625
2021-09-15,15503.5302734375
2021-09-16,15515.91015625
2021-09-17,15333.4697265625
2021-09-20,15012.1904296875
2021-09-21,15027.76953125
2021-09-22,15176.509765625
2021-09-23,15316.580078125
2021-09-24,15329.6796875
2021-09-27,15204.8203125
2021-09-28,14770.2998046875
2021-09-29,14752.8896484375
2021-09-30,14689.6201171875
2021-10-01,14791.8701171875
2021-10-04,14472.1201171875
2021-10-05,14674.150390625
2021-10-06,14766.75
2021-10-07,14897.1298828125
2021-10-08,14820.75
2021-10-11,14713.73046875
2021-10-12,14662.1103515625
2021-10-13,14774.599609375
2021-10-14,15052.419921875
2021-10-15,15146.919921875
2021-10-18,15300.8896484375
2021-10-19,15410.7197265625
2021-10-20,15388.7099609375
2021-10-21,15489.58984375
2021-10-22,15355.0703125
2021-10-25,15514.1904296875
2021-10-26,15559.490234375
2021-10-27,15598.3896484375
2021-10-28,15778.16015625
2021-10-29,15850.4697265625
2021-11-01,15905.2802734375
2021-11-02,15972.490234375
2021-11-03,16144.5
2021-11-04,16346.240234375
2021-11-05,16359.3798828125
2021-11-08,16336.0302734375
2021-11-09,16219.9404296875
2021-11-10,15985.5703125
2021-11-11,16032.4697265625
2021-11-12,16199.8896484375
2021-11-15,16189.1201171875
2021-11-16,16309.76953125
2021-11-17,16308.0703125
2021-11-18,16482.970703125
2021-11-19,16573.33984375
2021-11-22,16380.98046875
2021-11-23,16306.7197265625
2021-11-24,16367.8095703125
2021-11-26,16025.580078125
2021-11-29,16399.240234375
2021-11-30,16135.919921875
2021-12-01,15877.7197265625
2021-12-02,15990.759765625
2021-12-03,15712.0400390625
2021-12-06,15846.16015625
2021-12-07,16325.66015625
2021-12-08,16394.33984375
2021-12-09,16149.5703125
2021-12-10,16331.98046875
2021-12-13,16082.5498046875
2021-12-14,15914.900390625
2021-12-15,16289.58984375
2021-12-16,15863.9404296875
2021-12-17,15801.4599609375
2021-12-20,15627.6396484375
2021-12-21,15986.2802734375
2021-12-22,16180.1396484375
2021-12-23,16308.2099609375
2021-12-27,16567.5
2021-12-28,16488.66015625
2021-12-29,16491.009765625
2021-12-30,16429.099609375
2021-12-31,16320.080078125
2022-01-03,16501.76953125
2022-01-04,16279.73046875
2022-01-05,15771.7802734375
2022-01-06,15765.3603515625
2022-01-07,15592.1904296875
2022-01-10,15614.4296875
2022-01-11,15844.1201171875
2022-01-12,15905.099609375
2022-01-13,15495.6201171875
2022-01-14,15611.58984375
2022-01-18,15210.759765625
2022-01-19,15047.83984375
2022-01-20,14846.4599609375
2022-01-21,14438.400390625
2022-01-24,14509.580078125
2022-01-25,14149.1201171875
2022-01-26,14172.759765625
2022-01-27,14003.1103515625
2022-01-28,14454.6103515625
2022-01-31,14930.0498046875
2022-02-01,15019.6796875
2022-02-02,15139.740234375
2022-02-03,14501.1103515625
2022-02-04,14694.349609375
2022-02-07,14571.25
2022-02-08,14747.0302734375
2022-02-09,15056.9599609375
2022-02-10,14705.6396484375
2022-02-11,14253.83984375
2022-02-14,14268.58984375
2022-02-15,14620.8203125
2022-02-16,14603.6396484375
2022-02-17,14171.740234375
2022-02-18,14009.5400390625
2022-02-22,13870.5302734375
2022-02-23,13509.4296875
2022-02-24,13974.669921875
2022-02-25,14189.16015625
2022-02-28,14237.8095703125
2022-03-01,14005.990234375
2022-03-02,14243.6904296875
2022-03-03,14035.2099609375
2022-03-04,13837.830078125
2022-03-07,13319.3798828125
2022-03-08,13267.6103515625
2022-03-09,13742.2001953125
2022-03-10,13591.0
2022-03-11,13301.830078125
2022-03-14,13046.6396484375
2022-03-15,13458.5595703125
2022-03-16,13956.7900390625
2022-03-17,14118.599609375
2022-03-18,14420.080078125
2022-03-21,14376.08984375
2022-03-22,14654.330078125
2022-03-23,14447.5498046875
2022-03-24,14765.6904296875
2022-03-25,14754.3095703125
2022-03-28,14987.400390625
2022-03-29,15239.3203125
2022-03-30,15071.5498046875
2022-03-31,14838.490234375
2022-04-01,14861.2099609375
2022-04-04,15159.580078125
2022-04-05,14820.6396484375
2022-04-06,14498.8896484375
2022-04-07,14531.8095703125
2022-04-08,14327.259765625
2022-04-11,13990.2099609375
2022-04-12,13940.240234375
2022-04-13,14217.2900390625
2022-04-14,13893.2099609375
2022-04-18,13910.759765625
2022-04-19,14210.259765625
2022-04-20,13998.5302734375
2022-04-21,13720.4501953125
2022-04-22,13356.8701171875
2022-04-25,13533.2197265625
2022-04-26,13009.7099609375
2022-04-27,13003.3603515625
2022-04-28,13456.0595703125
2022-04-29,12854.7998046875
2022-05-02,13075.849609375
2022-05-03,13089.900390625
2022-05-04,13535.7099609375
2022-05-05,12850.5498046875
2022-05-06,12693.5302734375
2022-05-09,12187.7197265625
2022-05-10,12345.8603515625
2022-05-11,11967.5595703125
2022-05-12,11945.5
2022-05-13,12387.400390625
2022-05-16,12243.580078125
2022-05-17,12564.099609375
2022-05-18,11928.3095703125
2022-05-19,11875.6298828125
2022-05-20,11835.6201171875
2022-05-23,12034.2802734375
2022-05-24,11769.83984375
2022-05-25,11943.9296875
2022-05-26,12276.7900390625
2022-05-27,12681.419921875
2022-05-31,12642.099609375
2022-06-01,12548.3603515625
2022-06-02,12892.8896484375
2022-06-03,12548.0302734375
2022-06-06,12599.6298828125
2022-06-07,12711.6796875
2022-06-08,12615.1298828125
2022-06-09,12269.7802734375
2022-06-10,11832.8203125
2022-06-13,11288.3203125
2022-06-14,11311.6904296875
2022-06-15,11593.76953125
2022-06-16,11127.5703125
2022-06-17,11265.990234375
2022-06-21,11546.759765625
2022-06-22,11527.7099609375
2022-06-23,11697.6796875
2022-06-24,12105.849609375
2022-06-27,12008.240234375
2022-06-28,11637.76953125
2022-06-29,11658.259765625
2022-06-30,11503.7197265625
2022-07-01,11585.6796875
2022-07-05,11779.900390625
2022-07-06,11852.58984375
2022-07-07,12109.0498046875
2022-07-08,12125.6904296875
2022-07-11,11860.2802734375
2022-07-12,11744.990234375
2022-07-13,11728.5302734375
2022-07-14,11768.400390625
2022-07-15,11983.6201171875
2022-07-18,11877.5
2022-07-19,12249.419921875
2022-07-20,12439.6796875
2022-07-21,12619.41015625
2022-07-22,12396.4697265625
2022-07-25,12328.41015625
2022-07-26,12086.900390625
2022-07-27,12601.4697265625
2022-07-28,12717.8701171875
2022-07-29,12947.9697265625
2022-08-01,12940.7802734375
2022-08-02,12901.599609375
2022-08-03,13253.259765625
2022-08-04,13311.0400390625
2022-08-05,13207.6904296875
2022-08-08,13159.16015625
2022-08-09,13008.169921875
2022-08-10,13378.3203125
2022-08-11,13291.990234375
2022-08-12,13565.8701171875
2022-08-15,13667.1796875
2022-08-16,13635.2099609375
2022-08-17,13470.8603515625
2022-08-18,13505.990234375
2022-08-19,13242.900390625
2022-08-22,12890.5400390625
2022-08-23,12881.7900390625
2022-08-24,12917.8603515625
2022-08-25,13143.580078125
2022-08-26,12605.169921875
2022-08-29,12484.3203125
2022-08-30,12342.7001953125
2022-08-31,12272.0302734375
2022-09-01,12274.6201171875
2022-09-02,12098.4404296875
2022-09-06,12011.3095703125
2022-09-07,12259.3896484375
2022-09-08,12321.1904296875
2022-09-09,12588.2900390625
2022-09-12,12739.7197265625
2022-09-13,12033.6201171875
2022-09-14,12134.400390625
2022-09-15,11927.490234375
2022-09-16,11861.3798828125
2022-09-19,11953.26953125
2022-09-20,11851.5400390625
2022-09-21,11637.7900390625
2022-09-22,11501.650390625
2022-09-23,11311.240234375
2022-09-26,11254.1103515625
2022-09-27,11271.75
2022-09-28,11493.830078125
2022-09-29,11164.7802734375
2022-09-30,10971.2197265625
2022-10-03,11229.73046875
2022-10-04,11582.5400390625
2022-10-05,11573.1796875
2022-10-06,11485.5
2022-10-07,11039.4697265625
2022-10-10,10926.9697265625
2022-10-11,10791.349609375
2022-10-12,10785.6201171875
2022-10-13,11033.580078125
2022-10-14,10692.0595703125
2022-10-17,11062.5302734375
2022-10-18,11147.740234375
2022-10-19,11103.3798828125
2022-10-20,11046.7099609375
2022-10-21,11310.330078125
2022-10-24,11430.259765625
2022-10-25,11669.990234375
2022-10-26,11405.900390625
2022-10-27,11191.6298828125
2022-10-28,11546.2099609375
2022-10-31,11405.5703125
2022-11-01,11288.9501953125
2022-11-02,10906.33984375
2022-11-03,10690.599609375
2022-11-04,10857.0302734375
2022-11-07,10977.0
2022-11-08,11059.5
2022-11-09,10797.5498046875
2022-11-10,11605.9599609375
2022-11-11,11817.009765625
2022-11-14,11700.9404296875
2022-11-15,11871.150390625
2022-11-16,11699.08984375
2022-11-17,11676.8603515625
2022-11-18,11677.01953125
2022-11-21,11553.4501953125
2022-11-22,11724.83984375
2022-11-23,11838.7197265625
2022-11-25,11756.0302734375
2022-11-28,11587.75
2022-11-29,11503.4501953125
2022-11-30,12030.0595703125
2022-12-01,12041.8896484375
2022-12-02,11994.259765625
2022-12-05,11786.7998046875
2022-12-06,11549.6904296875
2022-12-07,11497.3896484375
2022-12-08,11637.5
2022-12-09,11563.330078125
2022-12-12,11706.4404296875
2022-12-13,11834.2099609375
2022-12-14,11740.919921875
2022-12-15,11345.2197265625
2022-12-16,11243.7197265625
2022-12-19,11084.58984375
2022-12-20,11072.419921875
2022-12-21,11235.8798828125
2022-12-22,10956.1396484375
2022-12-23,10985.4501953125
2022-12-27,10822.509765625
2022-12-28,10679.33984375
2022-12-29,10951.0498046875
2022-12-30,10939.759765625
2023-01-03,10862.6396484375
2023-01-04,10914.7998046875
2023-01-05,10741.2197265625
2023-01-06,11040.349609375
2023-01-09,11108.4501953125
2023-01-10,11205.7802734375
2023-01-11,11402.51953125
2023-01-12,11459.6103515625
2023-01-13,11541.48046875
2023-01-17,11557.1904296875
2023-01-18,11410.2900390625
2023-01-19,11295.669921875
2023-01-20,11619.0302734375
2023-01-23,11872.5400390625
2023-01-24,11846.6396484375
2023-01-25,11814.6904296875
2023-01-26,12051.48046875
2023-01-27,12166.599609375
2023-01-30,11912.3896484375
2023-01-31,12101.9296875
2023-02-01,12363.099609375
2023-02-02,12803.1396484375
2023-02-03,12573.3603515625
2023-02-06,12464.509765625
2023-02-07,12728.26953125
2023-02-08,12495.3798828125
2023-02-09,12381.169921875
2023-02-10,12304.919921875
2023-02-13,12502.3095703125
2023-02-14,12590.8896484375
2023-02-15,12687.8896484375
2023-02-16,12442.48046875
2023-02-17,12358.1796875
2023-02-21,12060.2998046875
2023-02-22,12066.26953125
2023-02-23,12180.1396484375
2023-02-24,11969.650390625
2023-02-27,12057.7900390625
2023-02-28,12042.1201171875
2023-03-01,11938.5703125
2023-03-02,12044.8701171875
2023-03-03,12290.8095703125
2023-03-06,12302.48046875
2023-03-07,12152.169921875
2023-03-08,12215.330078125
2023-03-09,11995.8798828125
2023-03-10,11830.2802734375
2023-03-13,11923.169921875
2023-03-14,12199.7900390625
2023-03-15,12251.3203125
2023-03-16,12581.3896484375
2023-03-17,12519.8798828125
2023-03-20,12562.6103515625
2023-03-21,12741.4404296875
2023-03-22,12567.150390625
2023-03-23,12729.23046875
2023-03-24,12767.0498046875
2023-03-27,12673.0703125
2023-03-28,12610.5703125
2023-03-29,12846.0302734375
2023-03-30,12963.1396484375
2023-03-31,13181.349609375
2023-04-03,13148.349609375
2023-04-04,13100.080078125
2023-04-05,12967.2001953125
2023-04-06,13062.599609375
2023-04-10,13051.23046875
2023-04-11,12964.150390625
2023-04-12,12848.349609375
2023-04-13,13109.3896484375
2023-04-14,13079.51953125
2023-04-17,13087.7099609375
2023-04-18,13091.7900390625
2023-04-19,13088.7099609375
2023-04-20,12985.98046875
2023-04-21,13000.76953125
2023-04-24,12969.759765625
2023-04-25,12725.1103515625
2023-04-26,12806.48046875
2023-04-27,13160.0302734375
2023-04-28,13245.990234375
2023-05-01,13231.4697265625
2023-05-02,13113.66015625
2023-05-03,13030.2099609375
2023-05-04,12982.48046875
2023-05-05,13259.1298828125
2023-05-08,13291.6396484375
2023-05-09,13201.1103515625
2023-05-10,13347.830078125
2023-05-11,13389.7802734375
2023-05-12,13340.1796875
2023-05-15,13413.509765625
2023-05-16,13426.009765625
2023-05-17,13589.259765625
2023-05-18,13834.6201171875
2023-05-19,13803.490234375
2023-05-22,13849.740234375
2023-05-23,13672.5400390625
2023-05-24,13604.48046875
2023-05-25,13938.5302734375
2023-05-26,14298.41015625
2023-05-30,14354.990234375
2023-05-31,14254.08984375
2023-06-01,14441.509765625
2023-06-02,14546.6396484375
2023-06-05,14556.5
2023-06-06,14558.08984375
2023-06-07,14303.2900390625
2023-06-08,14484.5400390625
2023-06-09,14528.3603515625
2023-06-12,14784.2998046875
2023-06-13,14900.849609375
2023-06-14,15005.6904296875
2023-06-15,15185.48046875
2023-06-16,15083.919921875
2023-06-20,15070.150390625
2023-06-21,14867.4501953125
2023-06-22,15042.3203125
2023-06-23,14891.48046875
2023-06-26,14689.01953125
2023-06-27,14945.91015625
2023-06-28,14964.5703125
2023-06-29,14939.9501953125
2023-06-30,15179.2099609375
2023-07-03,15208.6904296875
2023-07-05,15203.7802734375
2023-07-06,15089.4501953125
2023-07-07,15036.849609375
2023-07-10,15045.6396484375
2023-07-11,15119.0595703125
2023-07-12,15307.23046875
2023-07-13,15571.98046875
2023-07-14,15565.599609375
2023-07-17,15713.2802734375
2023-07-18,15841.349609375
2023-07-19,15826.349609375
2023-07-20,15466.08984375
2023-07-21,15425.669921875
2023-07-24,15448.01953125
2023-07-25,15561.419921875
2023-07-26,15499.259765625
2023-07-27,15464.9296875
2023-07-28,15750.9296875
2023-07-31,15757.0
2023-08-01,15718.009765625
2023-08-02,15370.740234375
2023-08-03,15353.5400390625
2023-08-04,15274.919921875
2023-08-07,15407.849609375
2023-08-08,15273.0498046875
2023-08-09,15101.7099609375
2023-08-10,15128.83984375
2023-08-11,15028.0703125
2023-08-14,15205.58984375
2023-08-15,15037.650390625
2023-08-16,14876.4697265625
2023-08-17,14715.8095703125
2023-08-18,14694.83984375
2023-08-21,14936.6904296875
2023-08-22,14908.9599609375
2023-08-23,15148.0595703125
2023-08-24,14816.4404296875
2023-08-25,14941.830078125
2023-08-28,15052.4599609375
2023-08-29,15376.5498046875
2023-08-30,15462.4296875
2023-08-31,15501.0703125
2023-09-01,15490.8603515625
2023-09-05,15508.240234375
2023-09-06,15371.4404296875
2023-09-07,15258.51953125
2023-09-08,15280.23046875
2023-09-11,15461.8701171875
2023-09-12,15289.740234375
2023-09-13,15348.5302734375
2023-09-14,15473.8896484375
2023-09-15,15202.400390625
2023-09-18,15225.3701171875
2023-09-19,15191.23046875
2023-09-20,14969.919921875
2023-09-21,14694.240234375
2023-09-22,14701.099609375
2023-09-25,14768.900390625
2023-09-26,14545.830078125
2023-09-27,14580.16015625
2023-09-28,14702.76953125
2023-09-29,14715.240234375
2023-10-02,14837.5703125
2023-10-03,14565.6201171875
2023-10-04,14776.25
2023-10-05,14723.2197265625
2023-10-06,14973.240234375
2023-10-09,15047.150390625
2023-10-10,15131.51953125
2023-10-11,15241.1201171875
2023-10-12,15184.099609375
2023-10-13,14995.1201171875
2023-10-16,15172.73046875
2023-10-17,15122.009765625
2023-10-18,14909.259765625
2023-10-19,14783.1298828125
2023-10-20,14560.8798828125
2023-10-23,14604.849609375
2023-10-24,14745.8603515625
2023-10-25,14381.6396484375
2023-10-26,14109.5703125
2023-10-27,14180.419921875
2023-10-30,14335.509765625
2023-10-31,14409.7802734375
2023-11-01,14664.91015625
2023-11-02,14919.5498046875
2023-11-03,15099.490234375
2023-11-06,15154.9296875
2023-11-07,15296.01953125
2023-11-08,15313.240234375
2023-11-09,15187.900390625
2023-11-10,15529.1201171875
2023-11-13,15482.7900390625
2023-11-14,15812.4697265625
2023-11-15,15817.1796875
2023-11-16,15833.169921875
2023-11-17,15837.990234375
2023-11-20,16027.0595703125
2023-11-21,15933.6201171875
2023-11-22,16001.3896484375
2023-11-24,15982.009765625
2023-11-27,15961.98046875
2023-11-28,16010.4296875
2023-11-29,15987.599609375
2023-11-30,15947.8701171875
2023-12-01,15997.580078125
2023-12-04,15839.669921875
2023-12-05,15877.7099609375
2023-12-06,15788.0498046875
2023-12-07,16022.490234375
2023-12-08,16084.6904296875
2023-12-11,16221.73046875
2023-12-12,16354.25
2023-12-13,16562.369140625
2023-12-14,16537.830078125
2023-12-15,16623.44921875
2023-12-18,16729.80078125
2023-12-19,16811.849609375
2023-12-20,16554.16015625
2023-12-21,16757.41015625
2023-12-22,16777.400390625
2023-12-26,16878.4609375
2023-12-27,16906.80078125
2023-12-28,16898.470703125
2023-12-29,16825.9296875
2024-01-02,16543.939453125
2024-01-03,16368.490234375
2024-01-04,16282.009765625
2024-01-05,16305.98046875
2024-01-08,16649.869140625
2024-01-09,16678.69921875
2024-01-10,16793.05078125
2024-01-11,16820.900390625
2024-01-12,16832.919921875
2024-01-16,16830.7109375
2024-01-17,16736.279296875
2024-01-18,16982.2890625
2024-01-19,17314.0
2024-01-22,17330.380859375
2024-01-23,17404.2109375
2024-01-24,17499.30078125
2024-01-25,17516.990234375
2024-01-26,17421.009765625
2024-01-29,17596.26953125
2024-01-30,17476.7109375
2024-01-31,17137.240234375
2024-02-01,17344.7109375
2024-02-02,17642.73046875
2024-02-05,17613.0390625
2024-02-06,17572.73046875
2024-02-07,17755.0703125
2024-02-08,17783.169921875
2024-02-09,17962.41015625
2024-02-12,17882.66015625
2024-02-13,17600.419921875
2024-02-14,17807.630859375
2024-02-15,17845.720703125
2024-02-16,17685.98046875
2024-02-20,17546.099609375
2024-02-21,17478.91015625
2024-02-22,18004.69921875
2024-02-23,17937.609375
2024-02-26,17933.330078125
2024-02-27,17971.05078125
2024-02-28,17874.5
2024-02-29,18043.849609375
2024-03-01,18302.91015625
2024-03-04,18226.48046875
2024-03-05,17897.869140625
2024-03-06,18017.5703125
2024-03-07,18297.990234375
2024-03-08,18018.44921875
2024-03-11,17951.689453125
2024-03-12,18219.109375
2024-03-13,18068.470703125
2024-03-14,18014.810546875
2024-03-15,17808.25
2024-03-18,17985.009765625
2024-03-19,18032.19921875
2024-03-20,18240.109375
2024-03-21,18320.380859375
2024-03-22,18339.439453125
2024-03-25,18277.060546875
2024-03-26,18210.5390625
2024-03-27,18280.83984375
2024-03-28,18254.689453125
2024-04-01,18293.19921875
2024-04-02,18121.779296875
2024-04-03,18160.189453125
2024-04-04,17878.779296875
2024-04-05,18108.4609375
2024-04-08,18100.189453125
2024-04-09,18169.900390625
2024-04-10,18011.66015625
2024-04-11,18307.98046875
2024-04-12,18003.490234375
2024-04-15,17706.830078125
2024-04-16,17713.66015625
2024-04-17,17493.619140625
2024-04-18,17394.310546875
2024-04-19,17037.650390625
2024-04-22,17210.890625
2024-04-23,17471.470703125
2024-04-24,17526.80078125
2024-04-25,17430.5
2024-04-26,17718.30078125
2024-04-29,17782.720703125
2024-04-30,17440.689453125
2024-05-01,17318.55078125
2024-05-02,17541.5390625
2024-05-03,17890.80078125
2024-05-06,18093.5703125
2024-05-07,18091.44921875
2024-05-08,18085.009765625
2024-05-09,18113.4609375
2024-05-10,18161.1796875
2024-05-13,18198.609375
2024-05-14,18322.76953125
2024-05-15,18596.650390625
2024-05-16,18557.9609375
2024-05-17,18546.23046875
2024-05-20,18674.189453125
2024-05-21,18713.80078125
2024-05-22,18705.19921875
2024-05-23,18623.390625
2024-05-24,18808.349609375
2024-05-28,18869.439453125
2024-05-29,18736.75
2024-05-30,18538.66015625
2024-05-31,18536.650390625
2024-06-03,18600.970703125
2024-06-04,18654.83984375
2024-06-05,19035.05078125
2024-06-06,19021.189453125
2024-06-07,19000.94921875
2024-06-10,19074.669921875
2024-06-11,19210.1796875
2024-06-12,19465.1796875
2024-06-13,19576.919921875
2024-06-14,19659.80078125
2024-06-17,19902.75
2024-06-18,19908.859375
2024-06-20,19752.30078125
2024-06-21,19700.4296875
2024-06-24,19474.619140625
2024-06-25,19701.130859375
2024-06-26,19751.05078125
2024-06-27,19789.029296875
2024-06-28,19682.869140625
2024-07-01,19812.220703125
2024-07-02,20011.890625
2024-07-03,20186.630859375
2024-07-05,20391.970703125
2024-07-08,20439.5390625
2024-07-09,20453.01953125
2024-07-10,20675.380859375
2024-07-11,20211.359375
2024-07-12,20331.490234375
2024-07-15,20386.880859375
2024-07-16,20398.619140625
2024-07-17,19799.140625
2024-07-18,19705.08984375
2024-07-19,19522.619140625
2024-07-22,19822.869140625
2024-07-23,19754.33984375
2024-07-24,19032.390625
2024-07-25,18830.580078125
2024-07-26,19023.66015625
2024-07-29,19059.490234375
